company,job_title,location,company_size,company_type,company_sector,company_industry,company_revenue,job_simpl,seniority,state,salary_estimate,company_founded,hourly,rating,python_yn,spark_yn,azure_yn,aws_yn,excel_yn,machine_learning_yn,description_len,company_age,size,type,sector,revenue,zone
Microsoft,Data & Applied Scientist,"Redmond, WA",10000+ Employees,Company - Public,Information Technology,Computer Hardware Development,$10+ billion (USD),data scientist,junior,WA,123486.0,1975.0,0.0,4.4,1.0,0.0,0.0,1.0,0.0,1.0,359.0,47.0,Huge company,Company - Public,IT and Telecommunications,$10+ billion (USD),Western
UT Southwestern Medical Center,Data Scientist or Bioinformatician (remote),Remote,10000+ Employees,Hospital,Healthcare,Health Care Services & Hospitals,$1 to $5 billion (USD),data scientist,mid,Remote,93500.0,1943.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,267.0,79.0,Huge company,Other institutions,Healthcare,$1 to $10 billion (USD),Remote
Notion,"Data Scientist, Growth","New York, NY",201 to 500 Employees,Company - Private,Information Technology,Enterprise Software & Network Solutions,Unknown / Non-Applicable,data scientist,Senior,NY,137853.0,2016.0,0.0,4.9,1.0,0.0,0.0,0.0,0.0,0.0,589.0,6.0,Medium-sized company,Company - Private,IT and Telecommunications,Unknown / Non-Applicable,Northeastern
Net2Aspire,Jr. Data Scientist,Remote,Unknown,Company - Public,Unknown,Unknown,Unknown / Non-Applicable,data scientist,junior,Remote,72500.0,1950.0,0.0,3.9400000000000004,0.0,0.0,0.0,0.0,0.0,1.0,132.0,72.0,Unknown size,Company - Public,Unknown,Unknown / Non-Applicable,Remote
Ntropy Network,Data Scientist,Remote,1 to 50 Employees,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,data scientist,mid,Remote,155000.0,2011.0,0.0,4.07,1.0,0.0,0.0,1.0,0.0,0.0,522.0,11.0,Small company,Company - Private,Unknown,Unknown / Non-Applicable,Remote
PayPal,Data Scientist,"Chicago, IL",10000+ Employees,Company - Public,Information Technology,Internet & Web Services,$10+ billion (USD),data scientist,Senior,IL,109837.0,1998.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,618.0,24.0,Huge company,Company - Public,IT and Telecommunications,$10+ billion (USD),Midwestern
"Pomeroy Technologies, LLC.",Data Scientist,Remote,1001 to 5000 Employees,Subsidiary or Business Segment,Information Technology,Information Technology Support Services,Unknown / Non-Applicable,data scientist,mid,Remote,110000.0,1982.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,140.0,40.0,Large company,Other institutions,IT and Telecommunications,Unknown / Non-Applicable,Remote
Delta,"Associate Data Scientist, Operations Decision Science","Atlanta, GA",10000+ Employees,Company - Public,Transportation & Logistics,"Airlines, Airports & Air Transportation",$10+ billion (USD),data scientist,junior,GA,103268.0,1928.0,0.0,4.3,1.0,0.0,0.0,0.0,0.0,1.0,249.0,94.0,Huge company,Company - Public,Other sectors,$10+ billion (USD),Southern
Booz Allen Hamilton,"Tech Excellence Data Scientist, Junior","Alexandria, VA",10000+ Employees,Company - Public,Management & Consulting,Business Consulting,$5 to $10 billion (USD),data scientist,junior,VA,102817.0,1914.0,0.0,4.2,1.0,0.0,0.0,0.0,1.0,1.0,570.0,108.0,Huge company,Company - Public,Business services,$1 to $10 billion (USD),Southern
Starz,Data Scientist,"New York, NY",501 to 1000 Employees,Subsidiary or Business Segment,Media & Communication,Broadcast Media,$1 to $5 billion (USD),data scientist,Senior,NY,105016.0,1994.0,0.0,2.9,1.0,0.0,0.0,1.0,0.0,1.0,616.0,28.0,Large company,Other institutions,Media and Entertaiment,$1 to $10 billion (USD),Northeastern
TrueChoice Solutions,(Jr) Quantitative Analyst / Data Scientist,"Vienna, NY",Unknown,Company - Public,Unknown,Unknown,Unknown / Non-Applicable,data analyst,junior,NY,98706.0,1836.6,0.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,364.0,185.4,Unknown size,Company - Public,Unknown,Unknown / Non-Applicable,Northeastern
Cloud to Street,Climate Data Scientist,"Brooklyn, NY",1 to 50 Employees,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,data scientist,Senior,NY,105732.0,1910.9,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,336.0,111.1,Small company,Company - Private,Unknown,Unknown / Non-Applicable,Northeastern
