job_simpl,seniority,size,type,sector,revenue,zone,salary_estimate,company_age,python_yn,spark_yn,azure_yn,aws_yn,excel_yn,machine_learning_yn
data scientist,junior,Huge company,Company - Public,IT and Telecommunications,$10+ billion (USD),Western,123486.0,47.0,1.0,0.0,0.0,1.0,0.0,1.0
data scientist,mid,Huge company,Other institutions,Healthcare,$1 to $10 billion (USD),Remote,93500.0,79.0,1.0,0.0,0.0,0.0,0.0,1.0
data scientist,Senior,Medium-sized company,Company - Private,IT and Telecommunications,Unknown / Non-Applicable,Northeastern,137853.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0
data scientist,junior,Unknown size,Company - Public,Unknown,Unknown / Non-Applicable,Remote,72500.0,72.0,0.0,0.0,0.0,0.0,0.0,1.0
data scientist,mid,Small company,Company - Private,Unknown,Unknown / Non-Applicable,Remote,155000.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0
data scientist,Senior,Huge company,Company - Public,IT and Telecommunications,$10+ billion (USD),Midwestern,109837.0,24.0,1.0,0.0,0.0,0.0,0.0,1.0
data scientist,mid,Large company,Other institutions,IT and Telecommunications,Unknown / Non-Applicable,Remote,110000.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0
data scientist,junior,Huge company,Company - Public,Other sectors,$10+ billion (USD),Southern,103268.0,94.0,1.0,0.0,0.0,0.0,0.0,1.0
data scientist,junior,Huge company,Company - Public,Business services,$1 to $10 billion (USD),Southern,102817.0,108.0,1.0,0.0,0.0,0.0,1.0,1.0
data scientist,Senior,Large company,Other institutions,Media and Entertaiment,$1 to $10 billion (USD),Northeastern,105016.0,28.0,1.0,0.0,0.0,1.0,0.0,1.0
data analyst,junior,Unknown size,Company - Public,Unknown,Unknown / Non-Applicable,Northeastern,98706.0,185.4,1.0,0.0,0.0,0.0,1.0,1.0
data scientist,Senior,Small company,Company - Private,Unknown,Unknown / Non-Applicable,Northeastern,105732.0,111.1,0.0,0.0,0.0,0.0,0.0,1.0
data scientist,Senior,Huge company,Company - Public,Healthcare,$10+ billion (USD),Western,93901.0,42.0,1.0,0.0,0.0,0.0,1.0,1.0
data scientist,mid,Small company,Company - Private,Business services,Less than $5 million (USD),Remote,130000.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
data scientist,junior,Small company,Company - Private,Financial and housing services,Less than $5 million (USD),Midwestern,57500.0,37.4,1.0,0.0,0.0,0.0,0.0,0.0
data scientist,mid,Huge company,Company - Public,IT and Telecommunications,$10+ billion (USD),Remote,150200.0,23.0,1.0,1.0,0.0,0.0,0.0,1.0
data scientist,Senior,Huge company,Company - Public,Industry,$10+ billion (USD),Northeastern,116444.0,43.0,1.0,0.0,1.0,1.0,1.0,1.0
